,precision,recall,f1-score,support
Negative,0.7505133470225873,0.889294403892944,0.8140311804008908,822.0
Neutral,0.9617577993961758,0.9052731291443006,0.9326610279765778,3167.0
Positive,0.8092369477911646,0.8685344827586207,0.8378378378378378,464.0
accuracy,0.8984953963620032,0.8984953963620032,0.8984953963620032,0.8984953963620032
macro avg,0.8405026980699759,0.8877006719319551,0.8615100154051021,4453.0
weighted avg,0.906870618844679,0.8984953963620032,0.9008820711089403,4453.0
