,precision,recall,f1-score,support
Negative,0.8466257668711656,0.8414634146341463,0.8440366972477065,164.0
Neutral,0.9541864139020537,0.9526813880126183,0.9534333070244673,634.0
Positive,0.8526315789473684,0.8709677419354839,0.8617021276595744,93.0
accuracy,0.9236812570145904,0.9236812570145904,0.9236812570145904,0.9236812570145904
macro avg,0.884481253240196,0.8883708481940827,0.8863907106439161,891.0
weighted avg,0.9237884949751723,0.9236812570145904,0.9237228202856077,891.0
