model_version,horizon_hours,MAE,RMSE,persistence_MAE,persistence_RMSE,v1_reference_MAE,v1_reference_RMSE,parameters,epochs,brier_score
LSTM_v2,1,0.36764460802078247,0.5205521841979304,0.6610758900642395,0.9202008320493529,,,36739,46,0.053887254445065536
LSTM_v2,2,0.6012143492698669,0.8316229234695598,1.2401082515716553,1.7013262427943607,,,36739,46,0.08626831646640455
LSTM_v2,6,1.2083603143692017,1.5866128770675711,3.113497018814087,4.112849518089285,1.229071021080017,1.614332692370595,36739,46,0.15503943193609887
