model,architecture,sequence_length,MAE,RMSE,train_loss,val_loss,parameters,training_time_sec,epochs
LSTM,A,72,1.229071021080017,1.614332692370595,2.4836490154266357,3.5343551635742188,21569,179.1008934020001,33
GRU,A,24,1.240025281906128,1.6144262504048352,2.568284511566162,3.2577991485595703,16385,118.06322001299998,29
GRU,A,72,1.25052809715271,1.6484798769453037,2.558093786239624,3.367586135864258,16385,170.74333067299995,32
LSTM,A,24,1.2598880529403687,1.658173505790385,2.565375566482544,3.65179443359375,21569,119.55700237399998,28
LSTM,B,72,1.3639780282974243,1.7614959778946873,5.257493019104004,4.0251078605651855,139073,418.96672294099994,31
GRU,B,24,1.4264425039291382,1.8345380278477486,5.78755521774292,4.178410530090332,105345,222.63594683099996,25
LSTM,B,24,1.4568240642547607,1.8930954988736926,5.733248233795166,4.285920143127441,139073,177.332078163,19
GRU,B,72,1.5091710090637207,1.9348499263556103,6.547331809997559,4.458683490753174,105345,256.2155682130001,18
